-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
侫        ning      wynv      NSZM      4FAB      8241      8         亻        32415531
侬        nong      wpey      NWRH      4FAC      D9AF      8         亻        32453534
侭        jin       wnyu      NXST      4FAD      8242      8         亻        32513444
侮        wu        wtxu      NMZY      4FAE      CEEA      9         亻        323155414
侯        hou       wntd      NXMA      4FAF      BAEE      9         亻        325131134
侰        jiong     wvtk      NXJ       4FB0      8243      9         亻        325113251
侱        ting      wkgg      NJC       4FB1      8244      9         亻        322511121
侲        zhen      wdfe      NGH       4FB2      8245      9         亻        321311534
侳        zuo       wwwf      NOOB      4FB3      8246      9         亻        323434121
侴        chou      wgnj      ODEK      4FB4      8247      9         人        341521122
侵        qin       wvpc      NXWX      4FB5      C7D6      9         亻        325114554
侶        lv        wktk      NJNJ      4FB6      8248      9         亻        322513251
侷        ju        wnnk      NXYJ      4FB7      8249      9         亻        325135251
侸        shu       wgku      NAJU      4FB8      824A      9         亻        321251431
侹        ting      wtfp      NYMB      4FB9      824B      8         亻        32312154
侺        shen      wmwn      NLSX      4FBA      824C      9         亻        322523445
侻        tuo       wukq      NUJR      4FBB      824D      9         亻        324325135
侼        bo        wfpb      NEWY      4FBC      824E      9         亻        321245521
侽        nan       wlln      NKYM      4FBD      824F      9         亻        322512153
侾        xiao      wftb      NBYA      4FBE      8250      9         亻        321213521
便        bian      wgjq      NAKO      4FBF      B1E3      9         亻        321251134
俀        tui       wevg      NPZM      4FC0      8251      9         亻        323443531
俁        yu        wknd      NJZG      4FC1      8252      9         亻        322515134
係        xi        wtxi      NMZ       4FC2      8253      9         亻        323554234
促        cu        wkhy      NJI       4FC3      B4D9      9         亻        322512134
俄        e         wtrt      NMHM      4FC4      B6ED      9         亻        323121534
俅        qiu       wfiy      NDVS      4FC5      D9B4      9         亻        321241344
俆        xu        wwty      NOMF      4FC6      8254      9         亻        323411234
俇        guang     wqtg      NQC       4FC7      8255      9         亻        323531121
俈        ku        wtfk      NMJ       4FC8      8256      9         亻        323121251
俉        wu        wgkg      NBXJ      4FC9      8257      9         亻        321251251
俊        jun       wcwt      NZOR      4FCA      BFA1      9         亻        325434354
俋        yi        wkcn      NJYI      4FCB      8258      9         亻        322515215
俌        fu        wgey      NFB       4FCC      8259      9         亻        321251124
俍        liang     wyve      NSXO      4FCD      825A      9         亻        324511534
俎        zu        wweg      ODOL      4FCE      D9DE      9         人        343425111
俏        qiao      wieg      NKQ       4FCF      C7CE      9         亻        322432511
俐        li        wtjh      NMKD      4FD0      C0FE      9         亻        323123422
俑        yong      wceh      NXLD      4FD1      D9B8      9         亻        325425112
俒        hun       wpfq      NWBR      4FD2      825B      9         亻        324451135
俓        ying      wgva      NHBI      4FD3      825C      9         亻        321555121
俔        xian      whqn      NLR       4FD4      825D      9         亻        322511135
俕        san       wpsy      NWF       4FD5      825E      9         亻        324451234
俖        pei       wgik      NGJ       4FD6      825F      9         亻        321324251
俗        su        wwwk      NOOJ      4FD7      CBD7      9         亻        323434251
俘        fu        webg      NPYA      4FD8      B7FD      9         亻        323443521
俙        xi        wqdh      NOGL      4FD9      8260      9         亻        323413251
俚        li        wjfg      NKB       4FDA      D9B5      9         亻        322511211
俛        mian      wqkq      NRJR      4FDB      8261      9         亻        323525135
俜        ping      wmgn      NKAZ      4FDC      D9B7      9         亻        322512115
保        bao       wksy      NJF       4FDD      B1A3      9         亻        322511234
俞        yu        wgej      ODQK      4FDE      D3E1      9         人        341251122
俟        si        wctd      NZMA      4FDF      D9B9      9         亻        325431134
俠        xia       wdww      NGOO      4FE0      8262      9         亻        321343434
信        xin       wyg       NSVV      4FE1      D0C5      9         亻        324111251
俢        xiu       qtet      NRPD      4FE2      8263      8         亻        32354333
俣        yu        wkgd      NJAG      4FE3      D9B6      9         亻        322511134
俤        di        wuxt      NUYZ      4FE4      8264      9         亻        324351523
俥        ju        wlh       NFK       4FE5      8265      9         亻        321251112
俦        chou      wdtf      NCDS      4FE6      D9B1      9         亻        321113124
俧        zhi       wfny      NBWZ      4FE7      8266      9         亻        321214544
俨        yan       wgod      NAKM      4FE8      D9B2      9         亻        321224313
俩        liang     wgmw      NAOO      4FE9      C1A9      9         亻        321253434
俪        li        wgmy      NALL      4FEA      D9B3      9         亻        321254254
俫        lai       wgoy      NBKV      4FEB      8267      9         亻        321431234
俬        si        wtcy      NMZS      4FEC      8268      9         亻        323123454
俭        jian      wwgi      NOBV      4FED      BCF3      9         亻        323414431
修        xiu       whte      NIRP      4FEE      D0DE      9         亻        322354333
俯        fu        wywf      NTND      4FEF      B8A9      10        亻        3241332124
俰        huo       wtkg      NMJ       4FF0      8269      10        亻        3231234251
俱        ju        whwy      NLO       4FF1      BEE3      10        亻        3225111134
